code_id,count,frequency,is_active,rank
4878,1227,9.5859375e-05,1,61
2759,1226,9.578125e-05,1,62
6911,1225,9.5703125e-05,1,63
11219,1223,9.5546875e-05,1,64
7185,1223,9.5546875e-05,1,65
7551,1221,9.5390625e-05,1,66
13388,1217,9.5078125e-05,1,67
5770,1216,9.5e-05,1,68
2356,1213,9.4765625e-05,1,69
8886,1211,9.4609375e-05,1,70
2499,1209,9.4453125e-05,1,71
11929,1201,9.3828125e-05,1,72
12671,1201,9.3828125e-05,1,74
4057,1201,9.3828125e-05,1,73
10452,1200,9.375e-05,1,75
2170,1199,9.3671875e-05,1,76
1747,1198,9.359375e-05,1,77
295,1195,9.3359375e-05,1,78
3247,1194,9.328125e-05,1,79
10391,1192,9.3125e-05,1,80
9930,1189,9.2890625e-05,1,81
10162,1188,9.28125e-05,1,82
286,1188,9.28125e-05,1,84
11141,1188,9.28125e-05,1,83
1951,1187,9.2734375e-05,1,86
3233,1187,9.2734375e-05,1,85
12163,1185,9.2578125e-05,1,87
3649,1182,9.234375e-05,1,89
2287,1182,9.234375e-05,1,88
14955,1179,9.2109375e-05,1,90
12202,1178,9.203125e-05,1,91
682,1177,9.1953125e-05,1,93
10015,1177,9.1953125e-05,1,92
5673,1177,9.1953125e-05,1,94
12156,1173,9.1640625e-05,1,95
14972,1171,9.1484375e-05,1,96
5830,1170,9.140625e-05,1,97
9171,1169,9.1328125e-05,1,98
14614,1168,9.125e-05,1,99
6802,1168,9.125e-05,1,100
12716,1168,9.125e-05,1,101
7313,1167,9.1171875e-05,1,102
10914,1167,9.1171875e-05,1,103
11093,1166,9.109375e-05,1,104
6976,1165,9.1015625e-05,1,106
9284,1165,9.1015625e-05,1,105
649,1165,9.1015625e-05,1,107
12761,1162,9.078125e-05,1,109
3686,1162,9.078125e-05,1,108
5121,1161,9.0703125e-05,1,110
1544,1161,9.0703125e-05,1,113
5058,1161,9.0703125e-05,1,112
298,1161,9.0703125e-05,1,111
11237,1159,9.0546875e-05,1,114
432,1159,9.0546875e-05,1,115
4,1158,9.046875e-05,1,116
11386,1156,9.03125e-05,1,117
4016,1156,9.03125e-05,1,118
10695,1155,9.0234375e-05,1,120
14106,1155,9.0234375e-05,1,119
11938,1155,9.0234375e-05,1,121
510,1154,9.015625e-05,1,123
6752,1154,9.015625e-05,1,122
5689,1153,9.0078125e-05,1,125
11767,1153,9.0078125e-05,1,124
5740,1153,9.0078125e-05,1,126
5380,1152,9e-05,1,127
12953,1152,9e-05,1,130
349,1152,9e-05,1,131
13973,1152,9e-05,1,129
11737,1152,9e-05,1,128
7309,1151,8.9921875e-05,1,133
4120,1151,8.9921875e-05,1,132
1494,1150,8.984375e-05,1,134
15172,1149,8.9765625e-05,1,135
3118,1149,8.9765625e-05,1,136
8713,1148,8.96875e-05,1,137
8603,1147,8.9609375e-05,1,141
5193,1147,8.9609375e-05,1,140
1830,1147,8.9609375e-05,1,142
5183,1147,8.9609375e-05,1,139
622,1147,8.9609375e-05,1,138
3106,1146,8.953125e-05,1,143
8842,1145,8.9453125e-05,1,145
9719,1145,8.9453125e-05,1,144
10931,1144,8.9375e-05,1,146
4673,1143,8.9296875e-05,1,148
6233,1143,8.9296875e-05,1,147
2504,1142,8.921875e-05,1,149
740,1139,8.8984375e-05,1,151
2166,1139,8.8984375e-05,1,150
3608,1139,8.8984375e-05,1,152
1691,1137,8.8828125e-05,1,153
15276,1135,8.8671875e-05,1,154
1161,1135,8.8671875e-05,1,155
5540,1134,8.859375e-05,1,157
11469,1134,8.859375e-05,1,156
780,1133,8.8515625e-05,1,158
12635,1132,8.84375e-05,1,160
14716,1132,8.84375e-05,1,159
5384,1129,8.8203125e-05,1,161
6453,1128,8.8125e-05,1,162
11958,1128,8.8125e-05,1,163
12428,1128,8.8125e-05,1,164
10898,1128,8.8125e-05,1,165
2399,1126,8.796875e-05,1,166
14090,1125,8.7890625e-05,1,167
5589,1124,8.78125e-05,1,168
8002,1123,8.7734375e-05,1,169
4822,1123,8.7734375e-05,1,170
6652,1122,8.765625e-05,1,171
12401,1122,8.765625e-05,1,172
6171,1121,8.7578125e-05,1,173
4173,1120,8.75e-05,1,174
1224,1119,8.7421875e-05,1,175
2251,1118,8.734375e-05,1,177
6395,1118,8.734375e-05,1,176
6965,1117,8.7265625e-05,1,179
4219,1117,8.7265625e-05,1,178
4247,1116,8.71875e-05,1,180
3454,1116,8.71875e-05,1,181
13556,1115,8.7109375e-05,1,182
5278,1113,8.6953125e-05,1,183
13792,1113,8.6953125e-05,1,187
4383,1113,8.6953125e-05,1,186
13894,1113,8.6953125e-05,1,185
2616,1113,8.6953125e-05,1,184
5920,1112,8.6875e-05,1,189
9863,1112,8.6875e-05,1,188
3145,1111,8.6796875e-05,1,190
1167,1110,8.671875e-05,1,193
7568,1110,8.671875e-05,1,192
12515,1110,8.671875e-05,1,191
10638,1109,8.6640625e-05,1,194
7736,1108,8.65625e-05,1,198
