model,sample_id,level,sigma,token_flip_frac
vqgan,n01531178/ILSVRC2012_val_00002668,high,0.5,0.9765625
vqgan,n01531178/ILSVRC2012_val_00010409,low,0.1,0.7578125
vqgan,n01531178/ILSVRC2012_val_00010409,mid,0.2,0.875
vqgan,n01531178/ILSVRC2012_val_00010409,high,0.5,0.9765625
vqgan,n01531178/ILSVRC2012_val_00016252,low,0.1,0.7265625
vqgan,n01531178/ILSVRC2012_val_00016252,mid,0.2,0.8515625
vqgan,n01531178/ILSVRC2012_val_00016252,high,0.5,0.97265625
vqgan,n01531178/ILSVRC2012_val_00025535,low,0.1,0.74609375
vqgan,n01531178/ILSVRC2012_val_00025535,mid,0.2,0.8359375
vqgan,n01531178/ILSVRC2012_val_00025535,high,0.5,0.95703125
vqgan,n01531178/ILSVRC2012_val_00032359,low,0.1,0.953125
vqgan,n01531178/ILSVRC2012_val_00032359,mid,0.2,0.96484375
vqgan,n01531178/ILSVRC2012_val_00032359,high,0.5,0.9921875
vqgan,n01531178/ILSVRC2012_val_00044706,low,0.1,0.796875
vqgan,n01531178/ILSVRC2012_val_00044706,mid,0.2,0.875
vqgan,n01531178/ILSVRC2012_val_00044706,high,0.5,0.95703125
vqgan,n01532829/ILSVRC2012_val_00004747,low,0.1,0.90625
vqgan,n01532829/ILSVRC2012_val_00004747,mid,0.2,0.953125
vqgan,n01532829/ILSVRC2012_val_00004747,high,0.5,0.9765625
vqgan,n01532829/ILSVRC2012_val_00007129,low,0.1,0.859375
vqgan,n01532829/ILSVRC2012_val_00007129,mid,0.2,0.91796875
vqgan,n01532829/ILSVRC2012_val_00007129,high,0.5,0.99609375
vqgan,n01532829/ILSVRC2012_val_00013367,low,0.1,0.859375
vqgan,n01532829/ILSVRC2012_val_00013367,mid,0.2,0.93359375
vqgan,n01532829/ILSVRC2012_val_00013367,high,0.5,0.984375
vqgan,n01532829/ILSVRC2012_val_00023162,low,0.1,0.74609375
vqgan,n01532829/ILSVRC2012_val_00023162,mid,0.2,0.85546875
vqgan,n01532829/ILSVRC2012_val_00023162,high,0.5,0.953125
vqgan,n01532829/ILSVRC2012_val_00030042,low,0.1,0.7421875
vqgan,n01532829/ILSVRC2012_val_00030042,mid,0.2,0.84765625
vqgan,n01532829/ILSVRC2012_val_00030042,high,0.5,0.9609375
vqgan,n01532829/ILSVRC2012_val_00045623,low,0.1,0.84765625
vqgan,n01532829/ILSVRC2012_val_00045623,mid,0.2,0.921875
vqgan,n01532829/ILSVRC2012_val_00045623,high,0.5,0.9921875
vqgan,n01534433/ILSVRC2012_val_00003116,low,0.1,0.8046875
vqgan,n01534433/ILSVRC2012_val_00003116,mid,0.2,0.921875
vqgan,n01534433/ILSVRC2012_val_00003116,high,0.5,0.9921875
vqgan,n01534433/ILSVRC2012_val_00007872,low,0.1,0.80078125
vqgan,n01534433/ILSVRC2012_val_00007872,mid,0.2,0.8984375
vqgan,n01534433/ILSVRC2012_val_00007872,high,0.5,0.984375
vqgan,n01534433/ILSVRC2012_val_00014108,low,0.1,0.73046875
vqgan,n01534433/ILSVRC2012_val_00014108,mid,0.2,0.90234375
vqgan,n01534433/ILSVRC2012_val_00014108,high,0.5,0.98046875
vqgan,n01534433/ILSVRC2012_val_00017384,low,0.1,0.81640625
vqgan,n01534433/ILSVRC2012_val_00017384,mid,0.2,0.9296875
vqgan,n01534433/ILSVRC2012_val_00017384,high,0.5,0.98828125
vqgan,n01534433/ILSVRC2012_val_00030657,low,0.1,0.90234375
vqgan,n01534433/ILSVRC2012_val_00030657,mid,0.2,0.95703125
vqgan,n01534433/ILSVRC2012_val_00030657,high,0.5,1.0
vqgan,n01534433/ILSVRC2012_val_00038794,low,0.1,0.9140625
vqgan,n01534433/ILSVRC2012_val_00038794,mid,0.2,0.98828125
vqgan,n01534433/ILSVRC2012_val_00038794,high,0.5,0.99609375
vqgan,n01537544/ILSVRC2012_val_00002449,low,0.1,0.71875
vqgan,n01537544/ILSVRC2012_val_00002449,mid,0.2,0.84765625
